zo,zd,n,distance_m,crow_m,rung
16,5,90,23046,13311,measured
16,6,97,17167,11886,measured
16,7,140,9778,7977,measured
16,8,56,24600,14685,measured
16,9,365,6957,7780,measured
16,10,557,4702,4011,measured
16,11,664,3576,3433,measured
16,12,80,14839,11619,measured
16,13,113,15049,10582,measured
16,14,43,19594,10717,measured
16,15,153,8405,7054,measured
16,16,73,3938,0,measured
16,17,160,9669,8872,measured
16,18,25,20885,13417,measured
16,19,20,10857,9465,measured
17,0,61094,3657,3934,measured
17,1,111493,3775,3269,measured
17,2,41246,6268,5353,measured
17,3,78597,3095,2212,measured
17,4,7804,7216,6321,measured
17,5,32899,5466,4880,measured
17,6,44058,4515,4249,measured
17,7,2577,10178,7961,measured
17,8,28066,6757,6072,measured
17,9,39851,4216,4202,measured
17,10,3183,11170,9122,measured
17,11,18629,6048,5467,measured
17,12,56129,3359,2865,measured
17,13,3700,11965,8144,measured
17,14,10290,7554,5733,measured
17,15,2872,16272,9899,measured
17,16,204,10235,8872,measured
17,17,219446,2117,0,measured
17,18,13059,5622,4554,measured
17,19,8150,3454,3105,measured
18,0,3503,8183,6492,measured
18,1,64057,3242,3048,measured
18,2,1783,11637,9027,measured
18,3,2049,8697,6765,measured
18,4,971,15285,10491,measured
18,5,23300,4672,2841,measured
18,6,9419,7145,4291,measured
18,7,586,18473,11352,measured
18,8,66245,2273,2199,measured
18,9,4105,12207,7701,measured
18,10,316,24859,13466,measured
18,11,678,13214,10020,measured
18,12,20138,3630,2235,measured
18,13,1056,15921,10464,measured
18,14,2738,11977,7478,measured
18,15,414,24132,13728,measured
18,16,38,25414,13417,measured
18,17,13868,5771,4554,measured
18,18,42413,1551,0,measured
18,19,1345,8209,5649,measured
19,0,971,7044,6997,measured
19,1,4009,7514,5891,measured
19,2,872,9166,7880,measured
19,3,2448,4177,3648,measured
19,4,1459,5972,5254,measured
19,5,5459,5785,4186,measured
19,6,14945,3219,2461,measured
19,7,1022,7181,5703,measured
19,8,1977,11001,7728,measured
19,9,8901,2805,2168,measured
19,10,427,11106,8332,measured
19,11,768,7210,6176,measured
19,12,5194,4093,3419,measured
19,13,1910,8368,5196,measured
19,14,5066,3874,2629,measured
19,15,446,12541,8132,measured
19,16,20,14853,9465,measured
19,17,7510,3604,3105,measured
19,18,872,8606,5649,measured
19,19,3629,2204,0,measured
