dt,h,factor,factor_raw,cells,journeys
thu_fri,14,1.045446798781587,1.0497299125098416,268,113814
thu_fri,15,1.0492471773362921,1.0534446764091858,275,122377
thu_fri,16,1.0495455013002533,1.0536463352417664,284,132852
thu_fri,17,1.0470301724142885,1.0521689589294256,286,141065
thu_fri,18,1.0327129604765692,1.0348458838398051,292,148731
thu_fri,19,1.0212163836659878,1.0208333333333333,285,145814
thu_fri,20,1.0183779003471194,1.0171990171990173,287,127271
thu_fri,21,1.0133641477558426,1.013586956521739,283,127081
thu_fri,22,1.0170716086116216,1.0182676197321388,282,130345
thu_fri,23,1.015732075340611,1.017661740366661,276,126870
